# Time_s	x	xdot	xddot	xdddot
1.735000	1.250000	0.419922	-0.288086	-0.620117
1.740000	0.566406	0.644531	0.102539	-0.961914
1.745000	-0.249023	0.258789	1.245117	-1.230469
1.750000	-0.039062	-1.181641	-0.190430	1.054688
1.755000	1.425781	-0.551758	-0.878906	-0.039062
1.760000	1.767578	0.468750	-0.317383	-0.678711
1.765000	1.005859	0.693359	0.141602	-0.615234
1.770000	0.126953	0.473633	0.361328	-1.992188
1.775000	-0.322266	-0.410156	0.776367	0.893555
1.780000	0.527344	-0.800781	-0.654297	0.366211
1.785000	1.293945	0.102539	-0.532227	-0.458984
1.790000	0.932617	0.625000	-0.014648	-0.634766
1.795000	0.083008	0.556641	0.532227	-2.548828
1.800000	-0.395508	-0.659180	0.825195	1.191406
1.805000	0.820312	-1.020508	-0.825195	0.468750
1.810000	1.806641	0.092773	-0.615234	-0.512695
1.815000	1.406250	0.688477	-0.004883	-0.688477
1.820000	0.488281	0.595703	0.185547	-0.913086
1.825000	-0.219727	0.161133	1.000977	-0.791016
1.830000	0.000000	-0.917969	-0.249023	0.756836
1.835000	1.098633	-0.317383	-0.703125	-0.156250
1.840000	1.210938	0.483398	-0.224609	-0.629883
1.845000	0.463867	0.634766	0.126953	-1.450195
1.850000	-0.317383	0.102539	1.337891	-0.419922
1.855000	0.117188	-1.210938	-0.385742	0.957031
1.860000	1.538086	-0.410156	-0.844727	-0.156250
1.865000	1.713867	0.537109	-0.239258	-0.698242
1.870000	0.898438	0.683594	0.161133	-0.581055
1.875000	0.048828	0.444336	0.493164	-2.026367
1.880000	-0.302734	-0.571289	0.532227	0.913086
1.885000	0.664062	-0.722656	-0.698242	0.253906
1.890000	1.303711	0.195312	-0.468750	-0.517578
1.895000	0.844727	0.639648	0.019531	-0.629883
1.900000	-0.009766	0.517578	0.732422	-2.485352
1.905000	-0.351562	-0.854492	0.517578	1.201172
1.910000	0.996094	-0.922852	-0.869141	0.327148
1.915000	1.821289	0.205078	-0.537109	-0.576172
1.920000	1.303711	0.703125	0.043945	-0.673828
1.925000	0.385742	0.561523	0.185547	-1.289062
1.930000	-0.268555	0.034180	1.049805	-0.117188
1.935000	0.131836	-0.927734	-0.395508	0.664062
1.940000	1.176758	-0.205078	-0.668945	-0.249023
1.945000	1.152344	0.532227	-0.166016	-0.639648
1.950000	0.366211	0.615234	0.151367	-1.884766
1.955000	-0.366211	-0.073242	1.352539	0.551758
1.960000	0.292969	-1.206055	-0.541992	0.844727
1.965000	1.635742	-0.273438	-0.795898	-0.263672
1.970000	1.650391	0.595703	-0.170898	-0.708008
1.975000	0.786133	0.664062	0.175781	-0.551758
1.980000	-0.029297	0.395508	0.644531	-1.918945
1.985000	-0.258789	-0.708008	0.292969	0.908203
1.990000	0.795898	-0.629883	-0.722656	0.136719
1.995000	1.298828	0.288086	-0.405273	-0.556641
2.000000	0.747070	0.644531	0.053711	-0.615234
2.005000	-0.092773	0.454102	0.932617	-2.231445
2.010000	-0.268555	-1.005859	0.239258	1.171875
2.015000	1.157227	-0.795898	-0.888672	0.195312
2.020000	1.816406	0.307617	-0.458984	-0.620117
2.025000	1.210938	0.708008	0.087891	-0.654297
2.030000	0.297852	0.537109	0.200195	-1.611328
2.035000	-0.307617	-0.112305	1.030273	0.664062
2.040000	0.263672	-0.908203	-0.507812	0.566406
2.045000	1.240234	-0.092773	-0.625000	-0.327148
2.050000	1.083984	0.576172	-0.112305	-0.649414
2.055000	0.263672	0.600586	0.234375	-2.226562
2.060000	-0.400391	-0.273438	1.264648	1.059570
2.065000	0.478516	-1.166992	-0.668945	0.717773
2.070000	1.713867	-0.136719	-0.742188	-0.356445
2.075000	1.567383	0.634766	-0.107422	-0.708008
2.080000	0.678711	0.644531	0.185547	-0.517578
2.085000	-0.102539	0.336914	0.791016	-1.674805
2.090000	-0.190430	-0.815430	0.078125	0.874023
2.095000	0.913086	-0.522461	-0.727539	0.029297
2.100000	1.274414	0.361328	-0.336914	-0.595703
2.105000	0.644531	0.644531	0.083008	-0.595703
2.110000	-0.180664	0.361328	1.118164	-1.777344
2.115000	-0.156250	-1.123047	-0.009766	1.118164
2.120000	1.303711	-0.664062	-0.888672	0.063477
2.125000	1.791992	0.400391	-0.380859	-0.654297
2.130000	1.098633	0.703125	0.117188	-0.629883
2.135000	0.205078	0.498047	0.268555	-1.855469
2.140000	-0.322266	-0.268555	0.932617	0.844727
2.145000	0.405273	-0.859375	-0.600586	0.463867
2.150000	1.269531	0.009766	-0.581055	-0.400391
