NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
19.309072	12.878755	18.956390	4.455975
19.352580	12.909139	18.997998	4.455975
19.397923	12.909139	19.042713	4.451283
19.436172	12.909139	19.089855	4.451283
19.512585	12.875172	19.133353	4.451283
19.550627	12.875172	19.182591	4.444169
19.591077	12.875172	19.221754	4.444169
19.635932	12.883072	19.262896	4.436335
19.673240	12.883072	19.307637	4.436335
19.714780	12.883072	19.369389	4.436335
19.757416	12.900586	19.407370	4.421435
19.826322	12.900586	19.448549	4.421435
19.868826	12.902677	19.487713	4.421435
19.912801	12.902677	19.523496	4.421435
19.951808	12.902677	19.564280	4.382824
19.994364	12.902677	19.603686	4.382824
20.037087	12.912503	19.640517	4.382824
20.107334	12.912503	19.684823	4.370545
20.150663	12.912483	19.726067	4.370545
20.188560	12.912483	19.763119	4.370545
20.228124	12.912483	19.825405	4.363209
20.275208	12.906554	19.865667	4.363209
20.315082	12.906554	19.903499	4.363209
20.371775	12.906554	19.943483	4.405632
20.413496	12.929771	19.982099	4.405632
20.454629	12.929771	20.020366	4.405632
20.497190	12.929771	20.065960	4.445527
20.537699	12.944279	20.109835	4.445527
20.608085	12.944279	20.149858	4.445527
20.650576	12.944279	20.187355	4.445527
20.690801	12.937660	20.228949	4.444092
20.734041	12.937660	20.272727	4.444092
20.772458	12.937660	20.309923	4.444092
20.842985	12.939843	20.378082	4.434442
20.885056	12.939843	20.420038	4.434442
20.922688	12.939843	20.459594	4.434442
20.966786	12.956846	20.505557	4.473001
21.006355	12.956846	20.545185	4.473001
21.076848	12.958802	20.614225	4.504244
21.120883	12.958802	20.655314	4.504244
21.157262	12.958802	20.693333	4.504244
21.198835	12.968943	20.731190	4.504244
21.240725	12.968943	20.773742	4.511855
21.309910	12.968943	20.812565	4.511855
21.355273	12.973251	20.851453	4.511855
21.392596	12.973251	20.898174	4.509353
21.431219	12.973251	20.936054	4.509353
21.475177	12.967436	21.005680	4.517874
21.515389	12.967436	21.048968	4.517874
21.572259	12.967436	21.089410	4.517874
21.616209	12.975743	21.130873	4.517874
21.656692	12.975743	21.173467	4.547192
21.697629	12.975743	21.213895	4.547192
21.739111	12.984260	21.250852	4.547192
21.806487	12.984260	21.294144	4.550125
21.847986	12.984260	21.334508	4.550125
21.889775	12.996124	21.371510	4.550125
21.933249	12.996124	21.409155	4.533533
21.972000	12.996124	21.453562	4.533533
22.041432	12.981291	21.490519	4.533533
22.082343	12.981291	21.528322	4.533533
22.120202	12.981291	21.575479	4.566772
22.166174	12.987180	21.613473	4.566772
22.205496	12.987180	21.682273	4.581908
22.279530	12.989759	21.722649	4.581908
22.324770	12.989759	21.759974	4.581908
22.365450	12.989759	21.800631	4.581908
22.412810	13.002399	21.843854	4.588490
22.454191	13.002399	21.902600	4.588490
22.530769	13.054166	21.941949	4.625373
22.574373	13.054166	21.985188	4.625373
22.611112	13.054166	22.025707	4.625373
22.652893	13.021798	22.066361	4.604679
22.694981	13.021798	22.121840	4.604679
22.762988	13.021798	22.160072	4.604679
22.806229	13.014515	22.197807	4.604679
22.845067	13.014515	22.238884	4.572484
22.887927	13.014515	22.277654	4.572484
22.926456	13.044235	22.313135	4.572484
22.976465	13.044235	22.356898	4.576477
23.012415	13.044235	22.394651	4.576477
23.053583	13.044235	22.436151	4.576477
23.094585	13.036249	22.479510	4.548316
23.133928	13.036249	22.521991	4.548316
23.172958	13.036249	22.563992	4.548316
23.223648	13.055903	22.602556	4.548316
23.262553	13.055903	22.642933	4.541238
23.301893	13.055903	22.683848	4.541238
23.345200	13.039781	22.721229	4.541238
23.384919	13.039781	22.769594	4.512094
23.422427	13.039781	22.805718	4.512094
23.463912	13.050534	22.870829	4.501619
23.505315	13.050534	22.912134	4.501619
23.541955	13.050534	22.954691	4.501619
23.580981	13.045289	22.993871	4.501619
23.624913	13.045289	23.035791	4.479151
23.660895	13.045289	23.078290	4.479151
23.699039	13.045289	23.115229	4.479151
23.740758	13.047879	23.155783	4.464157
23.779262	13.047879	23.194207	4.464157
23.817883	13.047879	23.233460	4.464157
23.856101	13.069120	23.275691	4.455469
23.904031	13.069120	23.315040	4.455469
23.942401	13.069120	23.351719	4.455469
23.992041	13.034212	23.388586	4.455469
24.030986	13.034212	23.431504	4.420686
24.072288	13.034212	23.471037	4.420686
24.114590	13.034212	23.507246	4.420686
24.157213	13.044412	23.548273	4.410755
24.223993	13.044412	23.588994	4.410755
24.264562	13.049760	23.653633	4.410755
24.304260	13.049760	23.697920	4.387134
24.343821	13.049760	23.737309	4.387134
24.382734	13.078506	23.775641	4.387134
24.427248	13.078506	23.816399	4.359258
24.464051	13.078506	23.885333	4.359258
24.506455	13.078506	23.924753	4.359258
24.548205	13.068254	23.966257	4.348349
24.600065	13.068254	24.004498	4.348349
24.640820	13.068254	24.040886	4.348349
24.679652	13.064632	24.083546	4.309819
24.722933	13.064632	24.127070	4.309819
24.761402	13.064632	24.165244	4.309819
24.831581	13.060714	24.230567	4.287481
24.874985	13.060714	24.270737	4.287481
24.911614	13.060714	24.306281	4.287481
24.958498	13.063118	24.350632	4.273475
24.999604	13.063118	24.389733	4.273475
25.069288	12.954718	24.448198	4.273475
25.113198	12.954718	24.491501	4.242352
25.150300	12.954718	24.534039	4.242352
25.194493	12.941090	24.574985	4.242352
25.237071	12.941090	24.615478	4.238031
25.300166	12.941090	24.687010	4.238031
25.343626	12.935692	24.723091	4.238031
25.385313	12.935692	24.764122	4.208142
25.424904	12.935692	24.802873	4.208142
25.468004	12.930794	24.840001	4.208142
25.506814	12.930794	24.879894	4.167353
25.550001	12.930794	24.923657	4.167353
25.589029	12.913556	24.962100	4.167353
25.662863	12.913556	25.027826	4.149443
25.700068	12.913556	25.069118	4.149443
25.744849	12.940397	25.107072	4.149443
25.789587	12.940397	25.150566	4.129506
25.828886	12.940397	25.194448	4.129506
25.894691	12.925638	25.234054	4.129506
25.937179	12.925638	25.296009	4.096142
